id,beta,debt_ratio,liquidity_ratio,base_reserves_begin,market_price_begin,user_a_position,liquidate_price,user_b_position,market_price_after_b,profit_loss,profit_percent
118,0.7,9999,0.06,"(36649871750740971435566, 3053950989251, 1645077633)",83.32774013565972,"(-218418708124272618852, 20073000000, 242728708124272618852)",91.09887441622894,"(21838910176065070306350, -159316000000, 1838910176065070306350)",91.09437447211677,0.4426329265230485,
119,0.7,9999,0.08,"(36649871750740971435566, 3053950989251, 1645077693)",83.32774013565972,"(-291833616102966807590, 26764000000, 324353616102966811686)",90.64196719014325,"(21832261133405756175485, -157992000000, 1832261133405756175485)",90.63747740714639,0.8119351758595328,
120,0.7,9991,0.1,"(36649871750740971435566, 3053950989251, 1645077723)",83.32774013565972,"(-365570154927210230756, 33455000000, 406340154927210230756)",90.18270461924892,"(21824852615745224730940, -156607000000, 1824852615745224730940)",90.17826882880816,1.6057266834783155,
121,0.7,9999,0.12,"(36649871750740971435566, 3053950989251, 1645077783)",83.32774013565972,"(-439610733185477777237, 40146000000, 488690733185477777237)",89.72691051909956,"(21817809097295619345631, -155263000000, 1817809097295619345631)",89.72254794685428,1.9329584966560331,
122,0.7,10000,0.14,"(36649871750740971435566, 3053950989251, 1645077843)",83.32774013565972,"(-513967780903230835915, 46837000000, 571407780903230835915)",89.27173632561721,"(21810565726141982350819, -153909000000, 1810565726141982350819)",89.26741795190333,2.6860072802520554,
123,0.75,9999,0.01,"(36649871750740971435566, 3053950989251, 1645077963)",83.32774013565972,"(-36206937853059909513, 3345000000, 40226937853059909001)",92.24153764938816,"(21854273303698703775351, -162543000000, 1854273303698703775351)",92.23691282607612,0.07739955663305208,
124,0.75,9999,0.02,"(36649871750740971435566, 3053950989251, 1645078023)",83.32774013565972,"(-72494256122461290678, 6691000000, 80554256122461290678)",92.00908283251279,"(21850603711152692656007, -161839000000, 1850603711152692656007)",92.00445352170361,0.10004260151411867,
125,0.75,9999,0.04,"(36649871750740971435566, 3053950989251, 1645078023)",83.32774013565972,"(-145293043603770753635, 13382000000, 161463043603770755683)",91.52899962457816,"(21840139539396601238447, -160151000000, 1840139539396601238447)",91.52446651928844,0.2627136979375143,
126,0.75,9999,0.06,"(36649871750740971435566, 3053950989251, 1645078083)",83.32774013565972,"(-218398708124272618852, 20073000000, 242728708124272618852)",91.04999341900444,"(21829508768444730338760, -158459000000, 1829508768444730338760)",91.04550783589826,0.9165845875752415,
127,0.75,9999,0.08,"(36649871750740971435566, 3053950989251, 1645078143)",83.32774013565972,"(-291803616102966815782, 26764000000, 324353616102966811686)",90.57518926569787,"(21819327008602811851569, -156819000000, 1819327008602811851569)",90.57076361890817,1.0629502750663835,
128,0.75,9999,0.1,"(36649871750740971435566, 3053950989251, 1645078203)",83.32774013565972,"(-365520154927210230756, 33455000000, 406340154927210230756)",90.10018719247289,"(21808736958575013363081, -155153000000, 1808736958575013363081)",90.09578683345921,1.7019128699124428,
129,0.75,9999,0.12,"(36649871750740971435566, 3053950989251, 1645078263)",83.32774013565972,"(-439540733185477777237, 40146000000, 488690733185477777237)",89.6276864206516,"(21798278876367097186291, -153510000000, 1798278876367097186291)",89.62336082027099,2.500711032878081,
130,0.75,10000,0.14,"(36649871750740971435566, 3053950989251, 1645078263)",83.32774013565972,"(-513877780903230835915, 46837000000, 571407780903230835915)",89.1552956011031,"(21787473519018921388148, -151847000000, 1787473519018921388148)",89.15104937147996,3.460166559796392,
131,0.8,9999,0.01,"(36649871750740971435566, 3053950989251, 1645078383)",83.32774013565972,"(-36206937853059909513, 3345000000, 40226937853059909001)",92.2319352318391,"(21852464373862597162666, -162376000000, 1852464373862597162666)",92.22732979582254,0.08030108211090389,
132,0.8,9999,0.02,"(36649871750740971435566, 3053950989251, 1645078443)",83.32774013565972,"(-72494256122461290678, 6691000000, 80554256122461290678)",91.98989985556148,"(21846976522301454035525, -161505000000, 1846976522301454035525)",91.98531213695111,0.11535531775221299,
133,0.8,9999,0.04,"(36649871750740971435566, 3053950989251, 1645078503)",83.32774013565972,"(-145293043603770753635, 13382000000, 161463043603770755683)",91.49073594126436,"(21832835437415964487942, -159482000000, 1832835437415964487942)",91.48622862853355,0.3249004530833659,
134,0.8,9999,0.06,"(36649871750740971435566, 3053950989251, 1645078563)",83.32774013565972,"(-218378708124272618852, 20073000000, 242728708124272618852)",91.00112668977364,"(21820102316552237576183, -157602000000, 1820102316552237576183)",90.99665431019463,0.7243460976174427,
135,0.8,9999,0.08,"(36649871750740971435566, 3053950989251, 1645078578)",83.32774013565972,"(-291773616102966811686, 26764000000, 324353616102966811686)",90.50843739322586,"(21806372320672831472566, -155645000000, 1806372320672831472566)",90.50401754899082,1.6218469772089839,
136,0.8,9999,0.1,"(36649871750740971435566, 3053950989251, 1645078638)",83.32774013565972,"(-365480154927210230756, 33455000000, 406340154927210230756)",90.01522638452364,"(21792129292473370785348, -153656000000, 1792129292473370785348)",90.01090497852121,2.0952492194381342,
137,0.8,9999,0.12,"(36649871750740971435566, 3053950989251, 1645078698)",83.32774013565972,"(-439480733185477777237, 40146000000, 488690733185477777237)",89.52646292580472,"(21778325297973522714699, -151721000000, 1778325297973522714699)",89.5221933213877,3.06858765644753,
